Lane_Type	Factory_ID	DC_ID	Month	Total_Pallets_Shipped	Base_Cost	Fuel_Cost
Primary	FAC001	DC001	2025-08	392	8803.96	3423.76
Primary	FAC001	DC001	2025-09	284	6529.67	2539.32
Primary	FAC001	DC001	2025-10	359	8381.24	3259.37
Primary	FAC001	DC001	2025-11	136	3104.97	1207.49
Primary	FAC001	DC001	2025-12	214	4953.49	1926.36
Primary	FAC001	DC001	2026-01	96	2086.22	811.31
Primary	FAC001	DC001	2026-02	213	4497.2	1748.91
Primary	FAC001	DC001	2026-03	110	2292.25	891.43
Primary	FAC001	DC001	2026-04	360	8597.41	3343.44
Primary	FAC001	DC001	2026-05	248	6042.31	2349.79
Primary	FAC001	DC001	2026-06	111	2361.12	918.21
Primary	FAC001	DC001	2026-07	117	2788.32	1084.35
Primary	FAC001	DC001	2026-08	368	8933.2	3474.02
Primary	FAC001	DC002	2025-08	98	1967.37	765.09
Primary	FAC001	DC002	2025-09	116	2619.01	1018.5
Primary	FAC001	DC002	2025-10	386	8378.17	3258.18
Primary	FAC001	DC002	2025-11	121	2700.62	1050.24
Primary	FAC001	DC002	2025-12	325	7333.28	2851.83
Primary	FAC001	DC002	2026-01	218	4717.3	1834.5
Primary	FAC001	DC002	2026-02	133	2499.05	971.85
Primary	FAC001	DC002	2026-03	339	6636.11	2580.71
Primary	FAC001	DC002	2026-04	259	5291.39	2057.76
Primary	FAC001	DC002	2026-05	235	5141.83	1999.6
Primary	FAC001	DC002	2026-06	196	3671.32	1427.74
Primary	FAC001	DC002	2026-07	108	2025.17	787.57
Primary	FAC001	DC002	2026-08	180	3753.97	1459.88
Primary	FAC002	DC003	2025-08	274	5720.72	2224.72
Primary	FAC002	DC003	2025-09	89	1811.77	704.58
Primary	FAC002	DC003	2025-10	106	2087.21	811.69
Primary	FAC002	DC003	2025-11	273	5714.69	2222.38
Primary	FAC002	DC003	2025-12	300	6287.01	2444.95
Primary	FAC002	DC003	2026-01	361	6745.65	2623.31
Primary	FAC002	DC003	2026-02	304	5656.33	2199.68
Primary	FAC002	DC003	2026-03	395	8725.41	3393.22
Primary	FAC002	DC003	2026-04	268	5238.95	2037.37
Primary	FAC002	DC003	2026-05	255	5071.88	1972.4
Primary	FAC002	DC003	2026-06	109	2080.87	809.23
Primary	FAC002	DC003	2026-07	127	2603.82	1012.6
Primary	FAC002	DC003	2026-08	196	3879.86	1508.83
Primary	FAC002	DC004	2025-08	354	6023.36	2342.42
Primary	FAC002	DC004	2025-09	87	1569.46	610.35
Primary	FAC002	DC004	2025-10	207	3692.1	1435.82
Primary	FAC002	DC004	2025-11	119	1820.49	707.97
Primary	FAC002	DC004	2025-12	304	4777.15	1857.78
Primary	FAC002	DC004	2026-01	102	1648.59	641.12
Primary	FAC002	DC004	2026-02	388	6715.41	2611.55
Primary	FAC002	DC004	2026-03	205	3784.08	1471.59
Primary	FAC002	DC004	2026-04	146	2502.87	973.34
Primary	FAC002	DC004	2026-05	325	5627.61	2188.52
Primary	FAC002	DC004	2026-06	119	1828.37	711.03
Primary	FAC002	DC004	2026-07	358	5656.09	2199.59
Primary	FAC002	DC004	2026-08	262	4747.88	1846.4
Primary	FAC003	DC005	2025-08	192	3355.43	1304.89
Primary	FAC003	DC005	2025-09	234	4501.29	1750.5
Primary	FAC003	DC005	2025-10	362	6133.32	2385.18
Primary	FAC003	DC005	2025-11	205	3642.99	1416.72
Primary	FAC003	DC005	2025-12	216	3679.65	1430.97
Primary	FAC003	DC005	2026-01	357	6314.6	2455.68
Primary	FAC003	DC005	2026-02	107	1833.3	712.95
Primary	FAC003	DC005	2026-03	290	5336.65	2075.36
Primary	FAC003	DC005	2026-04	398	7015.55	2728.27
Primary	FAC003	DC005	2026-05	120	1995.33	775.96
Primary	FAC003	DC005	2026-06	150	2832.41	1101.49
Primary	FAC003	DC005	2026-07	346	5786.22	2250.2
Primary	FAC003	DC005	2026-08	363	6045.15	2350.89
Primary	FAC003	DC006	2025-08	270	6203.13	2412.33
Primary	FAC003	DC006	2025-09	152	3031.6	1178.96
Primary	FAC003	DC006	2025-10	200	4571.54	1777.82
Primary	FAC003	DC006	2025-11	312	7481.03	2909.29
Primary	FAC003	DC006	2025-12	90	1978.27	769.33
Primary	FAC003	DC006	2026-01	97	2034.63	791.24
Primary	FAC003	DC006	2026-02	381	8182.47	3182.07
Primary	FAC003	DC006	2026-03	123	2466.1	959.04
Primary	FAC003	DC006	2026-04	392	8418.29	3273.78
Primary	FAC003	DC006	2026-05	89	2098.69	816.16
Primary	FAC003	DC006	2026-06	276	6000.08	2333.37
Primary	FAC003	DC006	2026-07	194	4014.18	1561.07
Primary	FAC003	DC006	2026-08	174	3947.85	1535.28
Primary	FAC004	DC007	2025-08	352	5877.22	2285.59
Primary	FAC004	DC007	2025-09	236	3922.27	1525.33
Primary	FAC004	DC007	2025-10	258	5145.16	2000.9
Primary	FAC004	DC007	2025-11	391	7535.44	2930.45
Primary	FAC004	DC007	2025-12	252	5012.08	1949.14
Primary	FAC004	DC007	2026-01	214	4168.03	1620.9
Primary	FAC004	DC007	2026-02	382	6608.3	2569.89
Primary	FAC004	DC007	2026-03	94	1669.02	649.06
Primary	FAC004	DC007	2026-04	398	7202.63	2801.02
Primary	FAC004	DC007	2026-05	298	5773.88	2245.4
Primary	FAC004	DC007	2026-06	109	2121.83	825.16
Primary	FAC004	DC007	2026-07	363	6508.04	2530.9
Primary	FAC004	DC007	2026-08	227	4461.41	1734.99
Primary	FAC004	DC008	2025-08	353	5233.28	2035.16
Primary	FAC004	DC008	2025-09	373	5814.68	2261.26
Primary	FAC004	DC008	2025-10	345	4905.08	1907.53
Primary	FAC004	DC008	2025-11	275	4080.06	1586.69
Primary	FAC004	DC008	2025-12	201	2780.76	1081.41
Primary	FAC004	DC008	2026-01	87	1242.29	483.11
Primary	FAC004	DC008	2026-02	220	3013.17	1171.79
Primary	FAC004	DC008	2026-03	207	3259.14	1267.44
Primary	FAC004	DC008	2026-04	231	3337.7	1297.99
Primary	FAC004	DC008	2026-05	282	3822.81	1486.65
Primary	FAC004	DC008	2026-06	220	3194.64	1242.36
Primary	FAC004	DC008	2026-07	208	3281.77	1276.24
Primary	FAC004	DC008	2026-08	391	5269.74	2049.35
Primary	FAC005	DC009	2025-08	237	6289.54	2445.93
Primary	FAC005	DC009	2025-09	244	6817.13	2651.11
Primary	FAC005	DC009	2025-10	171	4426.43	1721.39
Primary	FAC005	DC009	2025-11	88	2276.13	885.16
Primary	FAC005	DC009	2025-12	318	7554.26	2937.77
Primary	FAC005	DC009	2026-01	263	6858.02	2667.01
Primary	FAC005	DC009	2026-02	364	8991.68	3496.76
Primary	FAC005	DC009	2026-03	109	2899.01	1127.39
Primary	FAC005	DC009	2026-04	120	3001.11	1167.1
Primary	FAC005	DC009	2026-05	392	10368.07	4032.03
Primary	FAC005	DC009	2026-06	112	2897.21	1126.69
Primary	FAC005	DC009	2026-07	212	5845.35	2273.19
Primary	FAC005	DC009	2026-08	221	5507.48	2141.8
Primary	FAC005	DC010	2025-08	333	6886.29	2678
Primary	FAC005	DC010	2025-09	169	3509.7	1364.89
Primary	FAC005	DC010	2025-10	396	9124.87	3548.56
Primary	FAC005	DC010	2025-11	199	4103.87	1595.95
Primary	FAC005	DC010	2025-12	99	2072.51	805.98
Primary	FAC005	DC010	2026-01	339	8121.4	3158.32
Primary	FAC005	DC010	2026-02	376	8094.97	3148.04
Primary	FAC005	DC010	2026-03	363	8464.04	3291.57
Primary	FAC005	DC010	2026-04	111	2704.43	1051.72
Primary	FAC005	DC010	2026-05	212	5187.56	2017.38
Primary	FAC005	DC010	2026-06	88	2036.56	792
Primary	FAC005	DC010	2026-07	260	5856.83	2277.65
Primary	FAC005	DC010	2026-08	102	2325.09	904.2
