Sales_Order	Line_Item	SKU_ID	SKU_Hierarchy_L1	Qty_Pallets	Customer_ID	DC_ID	Order_Generation_Date	Requested_Delivery_Date
SO000001	1	SKU0001	Personal Care	7	CUST0007	DC001	2025-08-01	2025-08-04
SO000001	2	SKU0005	Personal Care	6	CUST0007	DC001	2025-08-01	2025-08-04
SO000001	3	SKU0012	Personal Care	7	CUST0007	DC001	2025-08-01	2025-08-04
SO000001	4	SKU0014	Personal Care	6	CUST0007	DC001	2025-08-01	2025-08-04
SO000001	5	SKU0028	Personal Care	6	CUST0007	DC001	2025-08-01	2025-08-04
SO000002	1	SKU0001	Personal Care	5	CUST0020	DC001	2025-08-01	2025-08-04
SO000002	2	SKU0005	Personal Care	3	CUST0020	DC001	2025-08-01	2025-08-04
SO000002	3	SKU0012	Personal Care	4	CUST0020	DC001	2025-08-01	2025-08-04
SO000002	4	SKU0014	Personal Care	5	CUST0020	DC001	2025-08-01	2025-08-04
SO000002	5	SKU0028	Personal Care	3	CUST0020	DC001	2025-08-01	2025-08-04
SO000003	1	SKU0001	Personal Care	8	CUST0004	DC002	2025-08-01	2025-08-04
SO000003	2	SKU0005	Personal Care	9	CUST0004	DC002	2025-08-01	2025-08-04
SO000003	3	SKU0012	Personal Care	9	CUST0004	DC002	2025-08-01	2025-08-04
SO000003	4	SKU0014	Personal Care	9	CUST0004	DC002	2025-08-01	2025-08-04
SO000003	5	SKU0028	Personal Care	8	CUST0004	DC002	2025-08-01	2025-08-04
SO000004	1	SKU0001	Personal Care	1	CUST0012	DC002	2025-08-01	2025-08-04
SO000004	2	SKU0005	Personal Care	1	CUST0012	DC002	2025-08-01	2025-08-04
SO000004	3	SKU0012	Personal Care	1	CUST0012	DC002	2025-08-01	2025-08-04
SO000004	4	SKU0014	Personal Care	1	CUST0012	DC002	2025-08-01	2025-08-04
SO000004	5	SKU0028	Personal Care	1	CUST0012	DC002	2025-08-01	2025-08-04
SO000005	1	SKU0001	Personal Care	10	CUST0021	DC002	2025-08-01	2025-08-04
SO000005	2	SKU0005	Personal Care	10	CUST0021	DC002	2025-08-01	2025-08-04
SO000005	3	SKU0012	Personal Care	9	CUST0021	DC002	2025-08-01	2025-08-04
SO000005	4	SKU0014	Personal Care	7	CUST0021	DC002	2025-08-01	2025-08-04
SO000005	5	SKU0028	Personal Care	9	CUST0021	DC002	2025-08-01	2025-08-04
SO000006	1	SKU0001	Personal Care	13	CUST0041	DC002	2025-08-01	2025-08-04
SO000006	2	SKU0005	Personal Care	13	CUST0041	DC002	2025-08-01	2025-08-04
SO000006	3	SKU0012	Personal Care	10	CUST0041	DC002	2025-08-01	2025-08-04
SO000006	4	SKU0014	Personal Care	10	CUST0041	DC002	2025-08-01	2025-08-04
SO000006	5	SKU0028	Personal Care	12	CUST0041	DC002	2025-08-01	2025-08-04
SO000007	1	SKU0001	Personal Care	10	CUST0044	DC002	2025-08-01	2025-08-04
SO000007	2	SKU0005	Personal Care	10	CUST0044	DC002	2025-08-01	2025-08-04
SO000007	3	SKU0012	Personal Care	11	CUST0044	DC002	2025-08-01	2025-08-04
SO000007	4	SKU0014	Personal Care	11	CUST0044	DC002	2025-08-01	2025-08-04
SO000007	5	SKU0028	Personal Care	9	CUST0044	DC002	2025-08-01	2025-08-04
SO000008	1	SKU0002	Dairy	6	CUST0043	DC003	2025-08-01	2025-08-04
SO000008	2	SKU0006	Dairy	7	CUST0043	DC003	2025-08-01	2025-08-04
SO000008	3	SKU0013	Dairy	6	CUST0043	DC003	2025-08-01	2025-08-04
SO000008	4	SKU0016	Dairy	6	CUST0043	DC003	2025-08-01	2025-08-04
SO000008	5	SKU0017	Dairy	7	CUST0043	DC003	2025-08-01	2025-08-04
SO000009	1	SKU0002	Dairy	13	CUST0040	DC003	2025-08-01	2025-08-04
SO000009	2	SKU0006	Dairy	10	CUST0040	DC003	2025-08-01	2025-08-04
SO000009	3	SKU0013	Dairy	12	CUST0040	DC003	2025-08-01	2025-08-04
SO000009	4	SKU0016	Dairy	11	CUST0040	DC003	2025-08-01	2025-08-04
SO000009	5	SKU0017	Dairy	10	CUST0040	DC003	2025-08-01	2025-08-04
SO000010	1	SKU0002	Dairy	8	CUST0049	DC004	2025-08-01	2025-08-04
SO000010	2	SKU0006	Dairy	8	CUST0049	DC004	2025-08-01	2025-08-04
SO000010	3	SKU0013	Dairy	6	CUST0049	DC004	2025-08-01	2025-08-04
SO000010	4	SKU0016	Dairy	8	CUST0049	DC004	2025-08-01	2025-08-04
SO000010	5	SKU0017	Dairy	7	CUST0049	DC004	2025-08-01	2025-08-04
SO000011	1	SKU0002	Dairy	9	CUST0039	DC004	2025-08-01	2025-08-04
SO000011	2	SKU0006	Dairy	8	CUST0039	DC004	2025-08-01	2025-08-04
SO000011	3	SKU0013	Dairy	8	CUST0039	DC004	2025-08-01	2025-08-04
SO000011	4	SKU0016	Dairy	10	CUST0039	DC004	2025-08-01	2025-08-04
