Lane_Type	DC_ID	Customer_ID	Month	Total_Pallets_Shipped	Base_Cost	Fuel_Cost
Secondary	DC005	CUST0010	2025-08	9	72.69	39.14
Secondary	DC005	CUST0010	2025-12	58	497.98	268.14
Secondary	DC005	CUST0010	2026-01	46	365.55	196.83
Secondary	DC005	CUST0010	2026-04	28	218.38	117.59
Secondary	DC005	CUST0010	2026-05	46	361.71	194.77
Secondary	DC005	CUST0010	2026-06	23	190.03	102.32
Secondary	DC010	CUST0025	2025-08	42	383.66	206.59
Secondary	DC010	CUST0025	2025-09	56	544.05	292.95
Secondary	DC010	CUST0025	2025-10	52	525.67	283.05
Secondary	DC010	CUST0025	2025-11	27	296.47	159.64
Secondary	DC010	CUST0025	2025-12	42	384.26	206.91
Secondary	DC010	CUST0025	2026-01	29	308.05	165.88
Secondary	DC010	CUST0025	2026-02	9	99.16	53.4
Secondary	DC010	CUST0025	2026-03	41	414.08	222.97
Secondary	DC010	CUST0025	2026-04	40	422.59	227.55
Secondary	DC010	CUST0025	2026-05	12	129.53	69.75
Secondary	DC010	CUST0025	2026-06	8	82.47	44.41
Secondary	DC010	CUST0025	2026-07	38	378.99	204.07
Secondary	DC005	CUST0029	2025-08	23	214.96	115.75
Secondary	DC005	CUST0029	2025-09	56	509.51	274.35
Secondary	DC005	CUST0029	2025-10	34	282.75	152.25
Secondary	DC005	CUST0029	2025-11	49	401.25	216.06
Secondary	DC005	CUST0029	2025-12	31	260.32	140.17
Secondary	DC005	CUST0029	2026-01	37	292.47	157.48
Secondary	DC005	CUST0029	2026-02	35	308.62	166.18
Secondary	DC005	CUST0029	2026-03	31	253.25	136.37
Secondary	DC005	CUST0029	2026-04	13	121.83	65.6
Secondary	DC005	CUST0029	2026-06	48	421.56	226.99
Secondary	DC006	CUST0047	2025-09	10	233.35	125.65
Secondary	DC006	CUST0047	2025-10	14	337.84	181.92
Secondary	DC006	CUST0047	2025-11	54	1206.09	649.43
Secondary	DC006	CUST0047	2026-01	15	329.51	177.43
Secondary	DC006	CUST0047	2026-03	35	872.37	469.74
Secondary	DC006	CUST0047	2026-06	49	1087.16	585.39
Secondary	DC006	CUST0047	2026-08	38	978.9	527.1
Secondary	DC008	CUST0015	2025-08	27	199.73	107.55
Secondary	DC008	CUST0015	2025-09	20	166.64	89.73
Secondary	DC008	CUST0015	2025-11	26	211.62	113.95
Secondary	DC008	CUST0015	2025-12	51	370.57	199.54
Secondary	DC008	CUST0015	2026-01	27	235.23	126.66
Secondary	DC008	CUST0015	2026-02	45	356.08	191.73
Secondary	DC008	CUST0015	2026-03	23	193.32	104.09
Secondary	DC008	CUST0015	2026-04	51	381.84	205.61
Secondary	DC008	CUST0015	2026-05	57	495.39	266.75
Secondary	DC008	CUST0015	2026-07	42	341.96	184.13
Secondary	DC008	CUST0015	2026-08	34	265.21	142.81
Secondary	DC004	CUST0049	2025-08	37	531.25	286.06
Secondary	DC004	CUST0049	2025-10	19	250.59	134.94
Secondary	DC004	CUST0049	2025-11	41	565.59	304.55
Secondary	DC004	CUST0049	2025-12	37	543.61	292.71
Secondary	DC004	CUST0049	2026-01	25	335.69	180.76
Secondary	DC004	CUST0049	2026-02	14	174.82	94.13
Secondary	DC004	CUST0049	2026-03	51	660.5	355.65
Secondary	DC004	CUST0049	2026-04	41	606.38	326.51
Secondary	DC004	CUST0049	2026-05	27	355.18	191.25
Secondary	DC004	CUST0049	2026-08	15	197.47	106.33
Secondary	DC002	CUST0004	2025-08	43	435.62	234.56
Secondary	DC002	CUST0004	2025-09	47	433.1	233.21
Secondary	DC002	CUST0004	2025-11	37	374.93	201.89
Secondary	DC002	CUST0004	2026-01	39	378.88	204.01
Secondary	DC002	CUST0004	2026-03	57	497.46	267.86
Secondary	DC002	CUST0004	2026-05	41	389.51	209.73
Secondary	DC002	CUST0004	2026-06	13	133.64	71.96
Secondary	DC010	CUST0003	2025-08	59	503.33	271.02
Secondary	DC010	CUST0003	2025-09	36	316.63	170.49
Secondary	DC010	CUST0003	2025-10	22	212.53	114.44
Secondary	DC010	CUST0003	2025-12	10	96.84	52.14
Secondary	DC010	CUST0003	2026-04	34	322.12	173.45
Secondary	DC010	CUST0003	2026-05	54	456.1	245.59
Secondary	DC010	CUST0003	2026-06	7	63.77	34.34
Secondary	DC010	CUST0003	2026-07	55	509.97	274.6
Secondary	DC010	CUST0042	2025-08	58	1524.78	821.03
Secondary	DC010	CUST0042	2025-10	5	116.01	62.47
Secondary	DC010	CUST0042	2025-11	60	1596.6	859.71
Secondary	DC010	CUST0042	2025-12	21	510.24	274.75
Secondary	DC010	CUST0042	2026-01	16	409.36	220.43
Secondary	DC010	CUST0042	2026-04	38	995.2	535.88
Secondary	DC010	CUST0042	2026-05	5	120.61	64.94
Secondary	DC010	CUST0042	2026-06	44	1012.82	545.36
Secondary	DC010	CUST0042	2026-08	21	524.95	282.67
Secondary	DC006	CUST0011	2025-08	20	213.17	114.78
Secondary	DC006	CUST0011	2025-09	47	531.83	286.37
Secondary	DC006	CUST0011	2025-10	58	569.37	306.58
Secondary	DC006	CUST0011	2025-12	55	585.34	315.19
Secondary	DC006	CUST0011	2026-01	39	403	217
Secondary	DC006	CUST0011	2026-04	53	578.78	311.65
Secondary	DC006	CUST0011	2026-05	33	330.35	177.88
Secondary	DC006	CUST0011	2026-06	12	116.41	62.68
Secondary	DC006	CUST0011	2026-07	47	449.84	242.22
Secondary	DC006	CUST0011	2026-08	50	480.06	258.5
Secondary	DC009	CUST0032	2025-08	58	477.55	257.14
Secondary	DC009	CUST0032	2025-09	31	249.59	134.39
Secondary	DC009	CUST0032	2026-01	31	219.45	118.17
Secondary	DC009	CUST0032	2026-02	21	168.68	90.83
Secondary	DC009	CUST0032	2026-03	56	429.55	231.3
Secondary	DC009	CUST0032	2026-04	8	59.21	31.88
Secondary	DC009	CUST0032	2026-05	26	207.28	111.61
Secondary	DC009	CUST0032	2026-07	19	149.59	80.55
Secondary	DC009	CUST0019	2025-09	44	399.9	215.33
Secondary	DC009	CUST0019	2025-11	51	410.05	220.8
Secondary	DC009	CUST0019	2025-12	54	499.82	269.13
Secondary	DC009	CUST0019	2026-01	54	505.7	272.3
Secondary	DC009	CUST0019	2026-05	15	142.4	76.68
Secondary	DC009	CUST0019	2026-06	50	420.52	226.44
Secondary	DC009	CUST0019	2026-07	28	240.58	129.54
Secondary	DC002	CUST0012	2025-08	5	37.31	20.09
Secondary	DC002	CUST0012	2025-10	11	90.51	48.74
Secondary	DC002	CUST0012	2025-11	7	53.63	28.88
Secondary	DC002	CUST0012	2025-12	19	160.4	86.37
Secondary	DC002	CUST0012	2026-01	7	54.96	29.59
Secondary	DC002	CUST0012	2026-03	46	370.87	199.7
Secondary	DC002	CUST0012	2026-04	22	194.06	104.5
Secondary	DC002	CUST0012	2026-06	50	432.86	233.08
Secondary	DC002	CUST0012	2026-07	5	43.12	23.22
Secondary	DC002	CUST0012	2026-08	14	105.84	56.99
Secondary	DC005	CUST0008	2025-08	30	276.09	148.66
Secondary	DC005	CUST0008	2025-09	24	248.65	133.89
Secondary	DC005	CUST0008	2025-10	52	461.14	248.3
Secondary	DC005	CUST0008	2026-02	35	334.61	180.18
Secondary	DC005	CUST0008	2026-03	19	203.63	109.65
Secondary	DC005	CUST0008	2026-04	35	328.29	176.77
Secondary	DC005	CUST0008	2026-05	37	344.16	185.32
Secondary	DC005	CUST0008	2026-07	30	320.62	172.64
Secondary	DC005	CUST0008	2026-08	50	451.72	243.23
Secondary	DC005	CUST0045	2025-09	30	424.92	228.81
Secondary	DC005	CUST0045	2025-10	35	476.18	256.4
Secondary	DC005	CUST0045	2025-11	26	324.43	174.69
Secondary	DC005	CUST0045	2025-12	10	123.48	66.49
Secondary	DC005	CUST0045	2026-02	36	492.71	265.31
Secondary	DC005	CUST0045	2026-04	58	775.13	417.38
Secondary	DC005	CUST0045	2026-05	41	579.56	312.07
Secondary	DC005	CUST0045	2026-07	31	400.79	215.81
Secondary	DC005	CUST0045	2026-08	14	170.66	91.89
Secondary	DC004	CUST0039	2025-08	43	378.8	203.97
Secondary	DC004	CUST0039	2025-10	53	481.73	259.39
Secondary	DC004	CUST0039	2025-11	36	311.09	167.51
Secondary	DC004	CUST0039	2025-12	25	222.7	119.91
Secondary	DC004	CUST0039	2026-01	40	384.84	207.22
Secondary	DC004	CUST0039	2026-02	10	97.33	52.41
Secondary	DC004	CUST0039	2026-03	9	78.79	42.42
Secondary	DC004	CUST0039	2026-04	15	135.19	72.8
Secondary	DC004	CUST0039	2026-07	12	97.8	52.66
Secondary	DC004	CUST0039	2026-08	15	138.06	74.34
Secondary	DC004	CUST0013	2025-08	13	116.04	62.48
Secondary	DC004	CUST0013	2025-09	30	230.05	123.87
Secondary	DC004	CUST0013	2025-11	51	470.24	253.21
Secondary	DC004	CUST0013	2025-12	38	311.63	167.8
Secondary	DC004	CUST0013	2026-01	41	359.09	193.35
Secondary	DC004	CUST0013	2026-03	18	162.32	87.4
Secondary	DC004	CUST0013	2026-04	28	239	128.69
Secondary	DC004	CUST0013	2026-06	26	239.96	129.21
Secondary	DC004	CUST0013	2026-07	59	544.59	293.24
