Factory_ID	DC_ID	SKU_ID	STO_Number	Line_Item	Qty_Pallets	Execution_Date
FAC001	DC001	SKU0001	STO000001	1	23	2025-08-01
FAC001	DC001	SKU0005	STO000001	2	28	2025-08-01
FAC001	DC001	SKU0012	STO000001	3	25	2025-08-01
FAC001	DC001	SKU0014	STO000001	4	28	2025-08-01
FAC001	DC001	SKU0028	STO000001	5	27	2025-08-01
FAC001	DC001	SKU0001	STO000002	1	27	2025-08-02
FAC001	DC001	SKU0005	STO000002	2	27	2025-08-02
FAC001	DC001	SKU0012	STO000002	3	24	2025-08-02
FAC001	DC001	SKU0014	STO000002	4	24	2025-08-02
FAC001	DC001	SKU0028	STO000002	5	27	2025-08-02
FAC001	DC001	SKU0001	STO000003	1	27	2025-08-03
FAC001	DC001	SKU0005	STO000003	2	27	2025-08-03
FAC001	DC001	SKU0012	STO000003	3	27	2025-08-03
FAC001	DC001	SKU0014	STO000003	4	26	2025-08-03
FAC001	DC001	SKU0028	STO000003	5	26	2025-08-03
FAC001	DC002	SKU0001	STO000004	1	27	2025-08-01
FAC001	DC002	SKU0005	STO000004	2	24	2025-08-01
FAC001	DC002	SKU0012	STO000004	3	26	2025-08-01
FAC001	DC002	SKU0014	STO000004	4	26	2025-08-01
FAC002	DC003	SKU0002	STO000005	1	25	2025-08-01
FAC002	DC003	SKU0006	STO000005	2	25	2025-08-01
FAC002	DC003	SKU0013	STO000005	3	25	2025-08-01
FAC002	DC003	SKU0016	STO000005	4	23	2025-08-01
FAC002	DC003	SKU0017	STO000005	5	26	2025-08-01
FAC002	DC003	SKU0002	STO000006	1	28	2025-08-02
FAC002	DC003	SKU0006	STO000006	2	28	2025-08-02
FAC002	DC003	SKU0013	STO000006	3	26	2025-08-02
FAC002	DC003	SKU0016	STO000006	4	25	2025-08-02
FAC002	DC003	SKU0017	STO000006	5	27	2025-08-02
FAC002	DC004	SKU0002	STO000007	1	27	2025-08-01
FAC002	DC004	SKU0006	STO000007	2	25	2025-08-01
FAC002	DC004	SKU0013	STO000007	3	28	2025-08-01
FAC002	DC004	SKU0016	STO000007	4	27	2025-08-01
FAC002	DC004	SKU0017	STO000007	5	24	2025-08-01
FAC002	DC004	SKU0002	STO000008	1	26	2025-08-02
FAC002	DC004	SKU0006	STO000008	2	27	2025-08-02
FAC002	DC004	SKU0013	STO000008	3	27	2025-08-02
FAC002	DC004	SKU0016	STO000008	4	27	2025-08-02
FAC002	DC004	SKU0017	STO000008	5	24	2025-08-02
FAC003	DC005	SKU0003	STO000009	1	24	2025-08-01
FAC003	DC005	SKU0009	STO000009	2	24	2025-08-01
FAC003	DC005	SKU0010	STO000009	3	24	2025-08-01
FAC003	DC005	SKU0011	STO000009	4	28	2025-08-01
FAC003	DC005	SKU0021	STO000009	5	25	2025-08-01
FAC003	DC005	SKU0025	STO000009	6	28	2025-08-01
FAC003	DC005	SKU0026	STO000009	7	24	2025-08-01
FAC003	DC006	SKU0003	STO000010	1	26	2025-08-01
FAC003	DC006	SKU0009	STO000010	2	25	2025-08-01
FAC003	DC006	SKU0010	STO000010	3	24	2025-08-01
FAC003	DC006	SKU0011	STO000010	4	25	2025-08-01
FAC003	DC006	SKU0021	STO000010	5	28	2025-08-01
FAC003	DC006	SKU0025	STO000010	6	27	2025-08-01
FAC003	DC006	SKU0026	STO000010	7	27	2025-08-01
FAC004	DC007	SKU0004	STO000011	1	26	2025-08-01
FAC004	DC007	SKU0007	STO000011	2	23	2025-08-01
FAC004	DC007	SKU0008	STO000011	3	27	2025-08-01
FAC004	DC007	SKU0020	STO000011	4	24	2025-08-01
FAC004	DC007	SKU0029	STO000011	5	27	2025-08-01
FAC004	DC007	SKU0030	STO000011	6	23	2025-08-01
FAC004	DC007	SKU0004	STO000012	1	28	2025-08-02
FAC004	DC007	SKU0007	STO000012	2	24	2025-08-02
FAC004	DC007	SKU0008	STO000012	3	28	2025-08-02
FAC004	DC007	SKU0020	STO000012	4	26	2025-08-02
FAC004	DC007	SKU0029	STO000012	5	27	2025-08-02
FAC004	DC007	SKU0030	STO000012	6	24	2025-08-02
FAC004	DC008	SKU0004	STO000013	1	28	2025-08-01
FAC004	DC008	SKU0007	STO000013	2	27	2025-08-01
FAC004	DC008	SKU0008	STO000013	3	25	2025-08-01
FAC004	DC008	SKU0020	STO000013	4	27	2025-08-01
FAC004	DC008	SKU0029	STO000013	5	23	2025-08-01
FAC004	DC008	SKU0030	STO000013	6	24	2025-08-01
FAC004	DC008	SKU0004	STO000014	1	23	2025-08-02
FAC004	DC008	SKU0007	STO000014	2	25	2025-08-02
FAC004	DC008	SKU0008	STO000014	3	24	2025-08-02
FAC004	DC008	SKU0020	STO000014	4	27	2025-08-02
FAC004	DC008	SKU0029	STO000014	5	28	2025-08-02
FAC004	DC008	SKU0030	STO000014	6	24	2025-08-02
FAC005	DC009	SKU0015	STO000015	1	27	2025-08-01
FAC005	DC009	SKU0018	STO000015	2	23	2025-08-01
FAC005	DC009	SKU0019	STO000015	3	28	2025-08-01
FAC005	DC009	SKU0022	STO000015	4	23	2025-08-01
FAC005	DC009	SKU0023	STO000015	5	27	2025-08-01
FAC005	DC009	SKU0024	STO000015	6	27	2025-08-01
FAC005	DC009	SKU0027	STO000015	7	24	2025-08-01
